,TIME,ADM_NM,TOTAL,population,GENDER,AGE
0,0,청운효자동,14028.78,315.711,M,10
1,0,사직동,11112.31,102.61,M,10
2,0,삼청동,3909.778,55.232,M,10
3,0,부암동,12304.509,301.622,M,10
4,0,평창동,19091.279,454.05,M,10
5,0,무악동,6324.853,105.117,M,10
6,0,교남동,7669.565,119.657,M,10
7,0,가회동,3552.127,40.541,M,10
8,0,종로1·2·3·4가동,27332.168,136.838,M,10
9,0,종로5·6가동,7558.554,30.115,M,10
10,0,이화동,17617.576,132.877,M,10
11,0,혜화동,28851.167,335.903,M,10
12,0,창신1동,7759.781,45.035,M,10
13,0,창신2동,8284.819,99.033,M,10
14,0,창신3동,6426.531,90.593,M,10
15,0,숭인1동,7724.153,104.764,M,10
16,0,숭인2동,10941.029,95.955,M,10
17,0,소공동,6175.368,44.904,M,10
18,0,회현동,7905.695,81.424,M,10
19,0,명동,10139.994,128.456,M,10
20,0,필동,7921.319,85.371,M,10
21,0,장충동,8119.995,47.969,M,10
22,0,광희동,15449.208,84.986,M,10
23,0,을지로동,7194.145,86.29,M,10
24,0,신당동,21705.29,75.599,M,10
25,0,다산동,14031.468,195.143,M,10
26,0,약수동,13556.424,148.203,M,10
27,0,청구동,11382.288,163.64,M,10
28,0,신당5동,5973.082,75.598,M,10
29,0,동화동,12694.003,216.231,M,10
30,0,황학동,13611.356,131.375,M,10
31,0,중림동,7095.475,58.616,M,10
32,0,후암동,14426.347,341.038,M,10
33,0,용산2가동,11452.036,130.727,M,10
34,0,남영동,7820.982,57.305,M,10
35,0,청파동,21731.208,228.723,M,10
36,0,원효로1동,18715.834,224.191,M,10
37,0,원효로2동,16007.763,291.101,M,10
38,0,효창동,9738.323,163.537,M,10
39,0,용문동,9193.047,144.015,M,10
40,0,한강로동,33660.802,371.491,M,10
41,0,이촌1동,24425.872,710.496,M,10
42,0,이촌2동,6913.867,84.21,M,10
43,0,이태원1동,12850.69,75.942,M,10
44,0,이태원2동,11289.8,115.489,M,10
45,0,한남동,20073.074,251.118,M,10
46,0,서빙고동,12633.114,359.88,M,10
47,0,보광동,7633.373,110.302,M,10
48,0,왕십리2동,16155.194,226.607,M,10
49,0,왕십리도선동,31099.82,440.682,M,10
50,0,마장동,19475.335,238.525,M,10
51,0,사근동,20939.666,122.801,M,10
52,0,행당1동,26175.711,488.921,M,10
53,0,행당2동,21657.349,390.48,M,10
54,0,응봉동,12681.126,234.069,M,10
55,0,금호1가동,14327.195,352.587,M,10
56,0,금호2·3가동,21831.26,312.467,M,10
57,0,금호4가동,11046.371,177.93,M,10
58,0,옥수동,27382.841,501.573,M,10
59,0,성수1가1동,14136.868,196.165,M,10
60,0,성수1가2동,15312.074,202.266,M,10
61,0,성수2가1동,17560.503,205.867,M,10
62,0,성수2가3동,24402.621,250.937,M,10
63,0,송정동,10720.056,105.654,M,10
64,0,용답동,16665.103,155.425,M,10
65,0,화양동,38192.35,123.464,M,10
66,0,군자동,23032.318,239.951,M,10
67,0,중곡1동,15434.047,209.962,M,10
68,0,중곡2동,20459.235,304.463,M,10
69,0,중곡3동,14993.119,217.926,M,10
70,0,중곡4동,25599.285,363.788,M,10
71,0,능동,12225.147,141.759,M,10
72,0,광장동,35659.111,1481.342,M,10
73,0,자양1동,25431.926,360.227,M,10
74,0,자양2동,23883.21,436.345,M,10
75,0,자양3동,26149.965,483.938,M,10
